Date,State,State_code,District,District_code,Rice Allocated,Wheat Allocated,Rice Distributed,Wheat Distributed,Performance (Rice),Performance (Wheat),Waste (Rice),Waste (Wheat),Year,Month,Total Allocated,Total Distributed,,
01-08-2018,Madhya Pradesh,23,Indore,410,1678.57,6946.41,1355.9,5662.14,80.78%,81.51%,322.67,1284.27,2018,Aug,8624.98,7018.04,,
01-08-2018,Madhya Pradesh,23,Seoni,428,3523.49,5125.77,2424.83,3545.11,68.82%,69.16%,1098.66,1580.66,2018,Aug,8649.26,5969.94,,
01-08-2018,Madhya Pradesh,23,Shivpuri,432,1372.25,6074.9,1157.56,5158.2,84.35%,84.91%,214.69,916.7,2018,Aug,7447.15,6315.76,,
01-08-2018,Jammu And Kashmir,1,Bandipore,623,2681.07,61,1217.97,25.57,45.43%,41.92%,1463.1,35.43,2018,Aug,2742.07,1243.54,,
01-08-2018,Karnataka,29,Bagalkote,524,16507.3,408.8,6495.6,186.9,39.35%,45.72%,10011.7,221.9,2018,Aug,16916.1,6682.5,,
01-08-2018,West Bengal,19,Maldah,316,6718.02,9902.91,6627.95,9902.91,98.66%,100.00%,90.07,0,2018,Aug,16620.93,16530.86,,
01-08-2018,Jharkhand,20,Koderma,334,2546.87,314.83,2526.07,297.59,99.18%,94.52%,20.8,17.24,2018,Aug,2861.7,2823.66,,
01-08-2018,Tamil Nadu,33,Thanjavur,586,8578.97,204.76,7824.52,177.26,91.21%,86.57%,754.45,27.5,2018,Aug,8783.73,8001.78,,
01-08-2018,Uttar Pradesh,9,Ambedkar Nagar,121,3920.24,5715.44,3912.31,5703.55,99.80%,99.79%,7.93,11.89,2018,Aug,9635.68,9615.86,,
01-08-2018,Uttar Pradesh,9,Chitrakoot,136,1761.63,2585.51,1759.59,2582.45,99.88%,99.88%,2.04,3.06,2018,Aug,4347.14,4342.04,,
01-08-2018,Bihar,10,Saharsa,216,5425.44,3616.96,5354.94,3569.96,98.70%,98.70%,70.5,47,2018,Aug,9042.4,8924.9,,
01-08-2018,Madhya Pradesh,23,Katni,413,2725.82,4227.18,1912.42,2965.42,70.16%,70.15%,813.4,1261.76,2018,Aug,6953,4877.84,,
01-08-2018,Uttar Pradesh,9,Jaunpur,152,7230.67,10532.33,7019.54,10215.62,97.08%,96.99%,211.13,316.71,2018,Aug,17763,17235.16,,
01-08-2018,Jammu And Kashmir,1,Rajauri,12,2677.29,1830.21,930.95,642.94,34.77%,35.13%,1746.34,1187.27,2018,Aug,4507.5,1573.89,,
01-08-2018,Odisha,21,Malkangiri,364,3190.94,47.95,2849.25,41.76,89.29%,87.09%,341.69,6.19,2018,Aug,3238.89,2891.01,,
01-08-2018,Odisha,21,Nayagarh,367,3482.99,672.17,3385.94,656.59,97.21%,97.68%,97.05,15.58,2018,Aug,4155.16,4042.53,,
01-08-2018,Madhya Pradesh,23,Dewas,402,1152.32,4822.46,1042.05,4390.6,90.43%,91.04%,110.27,431.86,2018,Aug,5974.78,5432.65,,
01-08-2018,Kerala,32,Thiruvananthapuram,565,6968.83,1912.55,7117.71,1605.86,102.14%,83.96%,-148.88,306.69,2018,Aug,8881.38,8723.57,,
01-08-2018,Jharkhand,20,Jamtara,333,3386.11,409.07,3296.05,395.8,97.34%,96.76%,90.06,13.27,2018,Aug,3795.18,3691.85,,
01-08-2018,Himachal Pradesh,2,Sirmaur,24,435,617,390.61,570.53,89.80%,92.47%,44.39,46.47,2018,Aug,1052,961.14,,
01-08-2018,Assam,18,Dima Hasao,299,932.15,43,931.25,43,99.90%,100.00%,0.9,0,2018,Aug,975.15,974.25,,
01-08-2018,Gujarat,24,Mahisagar,669,1247.79,2941.96,1171.13,2763.85,93.86%,93.95%,76.66,178.11,2018,Aug,4189.75,3934.98,,
01-08-2018,Maharashtra,27,Beed,470,6035.4,8890.15,3575.88,5262.23,59.25%,59.19%,2459.52,3627.92,2018,Aug,14925.55,8838.11,,
01-08-2018,Bihar,10,Vaishali,224,9687.62,6458.61,8314.41,5530.81,85.83%,85.63%,1373.21,927.8,2018,Aug,16146.23,13845.22,,
01-08-2018,Uttar Pradesh,9,Basti,131,4089.39,5911.41,4075.83,5891.37,99.67%,99.66%,13.56,20.04,2018,Aug,10000.8,9967.2,,
01-08-2018,Himachal Pradesh,2,Shimla,23,655,937,714.57,1031.09,109.09%,110.04%,-59.57,-94.09,2018,Aug,1592,1745.66,,
01-08-2018,Bihar,10,Aurangabad,189,5762.91,3841.94,5633.62,3755.74,97.76%,97.76%,129.29,86.2,2018,Aug,9604.85,9389.36,,
01-08-2018,Tamil Nadu,33,Dindigul,572,6896.2,192.83,6015.49,162.27,87.23%,84.15%,880.71,30.56,2018,Aug,7089.03,6177.76,,
01-08-2018,Uttar Pradesh,9,Firozabad,143,3896.83,5763.94,3731.7,5514.2,95.76%,95.67%,165.13,249.74,2018,Aug,9660.77,9245.9,,
01-08-2018,Bihar,10,Gopalganj,197,5228.03,3485.36,4354.32,2902.9,83.29%,83.29%,873.71,582.46,2018,Aug,8713.39,7257.22,,
01-08-2018,Uttar Pradesh,9,Kushinagar,160,6551.35,9534.18,6397.9,9304.01,97.66%,97.59%,153.45,230.17,2018,Aug,16085.53,15701.91,,
01-08-2018,Jharkhand,20,Ranchi,339,9476.87,1001.61,9567.83,985.47,100.96%,98.39%,-90.96,16.14,2018,Aug,10478.48,10553.3,,
01-08-2018,West Bengal,19,Dinajpur Dakshin,310,2659.61,3936.56,2659.16,3494.36,99.98%,88.77%,0.45,442.2,2018,Aug,6596.17,6153.52,,
01-08-2018,Uttar Pradesh,9,Shravasti,181,1953.55,2872.4,1921.62,2824.45,98.37%,98.33%,31.93,47.95,2018,Aug,4825.95,4746.07,,
01-08-2018,Assam,18,Barpeta,280,7362.79,474,7362.61,474,100.00%,100.00%,0.18,0,2018,Aug,7836.79,7836.61,,
01-08-2018,Odisha,21,Anugul,344,4366.41,1328.76,4327.47,905.25,99.11%,68.13%,38.94,423.51,2018,Aug,5695.17,5232.72,,
01-08-2018,Uttar Pradesh,9,Ghaziabad,145,3457.48,5164.97,2963.13,4423.82,85.70%,85.65%,494.35,741.15,2018,Aug,8622.45,7386.95,,
01-08-2018,Uttar Pradesh,9,Rampur,176,3566.19,5262.64,3480.67,5134.36,97.60%,97.56%,85.52,128.28,2018,Aug,8828.83,8615.03,,
01-08-2018,Uttarakhand,5,Haridwar,50,7581.77,4806.74,2954.77,1868.87,38.97%,38.88%,4627,2937.87,2018,Aug,12388.51,4823.64,,
01-08-2018,Maharashtra,27,Mumbai,482,11330.98,17213.28,6073.47,9118.75,53.60%,52.98%,5257.51,8094.53,2018,Aug,28544.26,15192.22,,
01-08-2018,Daman & Diu,25,Diu,464,69.15,81.64,43.3,51.02,62.62%,62.49%,25.85,30.62,2018,Aug,150.79,94.32,,
01-08-2018,Tamil Nadu,33,Tirunelveli,592,9144.59,263.34,7755.78,244.99,84.81%,93.03%,1388.81,18.35,2018,Aug,9407.93,8000.77,,
01-08-2018,Odisha,21,Bargarh,347,6195.26,632.79,6112.7,615.11,98.67%,97.21%,82.56,17.68,2018,Aug,6828.05,6727.81,,
01-08-2018,Uttar Pradesh,9,Gorakhpur,148,7026.87,10224.33,6366.71,9235.72,90.61%,90.33%,660.16,988.61,2018,Aug,17251.2,15602.43,,
01-08-2018,Odisha,21,Khordha,362,5956.37,1777.78,6779.01,1805.32,113.81%,101.55%,-822.64,-27.54,2018,Aug,7734.15,8584.33,,
01-08-2018,Uttarakhand,5,Tehri Garhwal,55,1445.76,884.55,1129.01,694.34,78.09%,78.50%,316.75,190.21,2018,Aug,2330.31,1823.35,,
01-08-2018,Tamil Nadu,33,Coimbatore,569,6449.26,359.73,5054.59,322.34,78.37%,89.61%,1394.67,37.39,2018,Aug,6808.99,5376.93,,
01-08-2018,Himachal Pradesh,2,Kinnaur,19,68,99,68.42,94.93,100.62%,95.89%,-0.42,4.07,2018,Aug,167,163.35,,
01-08-2018,Jammu And Kashmir,1,Ramban,621,1132.75,829.97,693.08,461.43,61.19%,55.60%,439.67,368.54,2018,Aug,1962.72,1154.51,,
01-08-2018,Odisha,21,Mayurbhanj,365,11742.7,852.53,12259.22,913.92,104.40%,107.20%,-516.52,-61.39,2018,Aug,12595.23,13173.14,,
01-08-2018,Gujarat,24,Dohad,445,2662.84,6329.54,2477.07,5891.54,93.02%,93.08%,185.77,438,2018,Aug,8992.38,8368.61,,
01-08-2018,Karnataka,29,Gadag,537,9750.26,344.3,3870.3,158.21,39.69%,45.95%,5879.96,186.09,2018,Aug,10094.56,4028.51,,
01-08-2018,Bihar,10,Madhubani,206,12888.79,8592.52,12444.81,8296.54,96.56%,96.56%,443.98,295.98,2018,Aug,21481.31,20741.35,,
01-08-2018,Gujarat,24,Gandhinagar,446,1249.41,2934.68,1148.93,2702.73,91.96%,92.10%,100.48,231.95,2018,Aug,4184.09,3851.66,,
01-08-2018,Bihar,10,Sheikhpura,219,1485.91,990.61,1416.06,944.04,95.30%,95.30%,69.85,46.57,2018,Aug,2476.52,2360.1,,
01-08-2018,Gujarat,24,Arvalli,672,1234.58,2912.01,1138.93,2686.29,92.25%,92.25%,95.65,225.72,2018,Aug,4146.59,3825.22,,
01-08-2018,Gujarat,24,Tapi,641,965.69,2300.18,869.03,2066.01,89.99%,89.82%,96.66,234.17,2018,Aug,3265.87,2935.04,,
01-08-2018,West Bengal,19,Hooghly,312,6837.46,10076.47,6711.76,9986.51,98.16%,99.11%,125.7,89.96,2018,Aug,16913.93,16698.27,,
01-08-2018,Uttar Pradesh,9,Lucknow,162,5767.64,8526.18,5458.39,8049.35,94.64%,94.41%,309.25,476.83,2018,Aug,14293.82,13507.74,,
01-08-2018,Bihar,10,Siwan,222,7631.21,5087.48,7423.38,4948.88,97.28%,97.28%,207.83,138.6,2018,Aug,12718.69,12372.26,,
01-08-2018,Bihar,10,Kishanganj,203,5009.45,3339.64,4793.02,3195.35,95.68%,95.68%,216.43,144.29,2018,Aug,8349.09,7988.37,,
01-08-2018,Uttarakhand,5,Bageshwar,46,563.4,345.31,682.42,361.19,121.13%,104.60%,-119.02,-15.88,2018,Aug,908.71,1043.61,,
01-08-2018,Kerala,32,Kasaragod,558,2880.6,562.95,2629.09,578.46,91.27%,102.76%,251.51,-15.51,2018,Aug,3443.55,3207.55,,
01-08-2018,Karnataka,29,Belagavi,527,41059.03,137.86,16494.02,94.13,40.17%,68.28%,24565.01,43.73,2018,Aug,41196.89,16588.15,,
01-08-2018,Uttar Pradesh,9,Amethi,640,3343.99,4840.04,3337.64,4830.51,99.81%,99.80%,6.35,9.53,2018,Aug,8184.03,8168.15,,
01-08-2018,Gujarat,24,Gir Somnath,675,1102.16,2593.76,1034.26,2433.26,93.84%,93.81%,67.9,160.5,2018,Aug,3695.92,3467.52,,
01-08-2018,Madhya Pradesh,23,Betul,394,2935.06,5178.46,2457.85,4363.52,83.74%,84.26%,477.21,814.94,2018,Aug,8113.52,6821.37,,
01-08-2018,Delhi,7,Central,77,7349.72,24160.16,4637.5,24054.88,63.10%,99.56%,2712.22,105.28,2018,Aug,31509.88,28692.38,,
01-08-2018,Delhi,7,New Delhi,79,321.54,1236.73,305.73,1170.9,95.08%,94.68%,15.81,65.83,2018,Aug,1558.27,1476.63,,
01-08-2018,Delhi,7,West,85,884.87,3393.64,746.33,2845.17,84.34%,83.84%,138.54,548.47,2018,Aug,4278.51,3591.5,,
01-08-2018,Assam,18,Bongaigaon,281,3159.7,184,3159.7,184,100.00%,100.00%,0,0,2018,Aug,3343.7,3343.7,,
01-09-2018,Uttar Pradesh,9,Kanpur Dehat,156,2971.59,4317.51,2732.69,3969.33,91.96%,91.94%,238.9,348.18,2018,Sep,7289.1,6702.02,,
01-09-2018,Bihar,10,Kaimur (Bhabua),200,3238.42,2158.95,2328.01,1552.01,71.89%,71.89%,910.41,606.94,2018,Sep,5397.37,3880.02,,
01-09-2018,Jharkhand,20,Dhanbad,325,7078.89,941.68,7686.98,1296.41,108.59%,137.67%,-608.09,-354.73,2018,Sep,8020.57,8983.39,,
01-09-2018,Himachal Pradesh,2,Hamirpur,17,426,605,375.71,540.67,88.19%,89.37%,50.29,64.33,2018,Sep,1031,916.38,,
01-09-2018,Uttar Pradesh,9,Balrampur,127,3237.59,4764.41,3128.93,4601.19,96.64%,96.57%,108.66,163.22,2018,Sep,8002,7730.12,,
01-09-2018,Uttar Pradesh,9,Lucknow,162,5753.3,8504.67,5254.32,7758.69,91.33%,91.23%,498.98,745.98,2018,Sep,14257.97,13013.01,,
01-09-2018,Himachal Pradesh,2,Kangra,18,1649,2319,1685.87,2386.34,102.24%,102.90%,-36.87,-67.34,2018,Sep,3968,4072.21,,
01-09-2018,Bihar,10,Samastipur,217,12679.31,8452.87,12551.63,8367.75,98.99%,98.99%,127.68,85.12,2018,Sep,21132.18,20919.38,,
01-09-2018,Uttar Pradesh,9,Shravasti,181,1942.5,2847.82,1752.81,2571.21,90.23%,90.29%,189.69,276.61,2018,Sep,4790.32,4324.02,,
01-09-2018,West Bengal,19,Alipurduar,664,3138.87,4411.12,3137.35,4411.12,99.95%,100.00%,1.52,0,2018,Sep,7549.99,7548.47,,
01-09-2018,Madhya Pradesh,23,Rajgarh,422,1870.83,7847.71,1296.34,5450.63,69.29%,69.46%,574.49,2397.08,2018,Sep,9718.54,6746.97,,
01-09-2018,Madhya Pradesh,23,Sheopur,431,732.4,3372.33,494.07,2285.19,67.46%,67.76%,238.33,1087.14,2018,Sep,4104.73,2779.26,,
01-09-2018,Uttar Pradesh,9,Firozabad,143,3791.46,5576.55,3516.29,5193.42,92.74%,93.13%,275.17,383.13,2018,Sep,9368.01,8709.71,,
01-09-2018,Madhya Pradesh,23,Singrauli,638,2626.26,4185.06,2337.76,3750.82,89.01%,89.62%,288.5,434.24,2018,Sep,6811.32,6088.58,,
01-09-2018,Bihar,10,Sheohar,220,1776.13,1184.09,1776.13,1184.09,100.00%,100.00%,0,0,2018,Sep,2960.22,2960.22,,
01-09-2018,Uttar Pradesh,9,Budaun,133,4700.87,6938.26,4601.91,6789.81,97.89%,97.86%,98.96,148.45,2018,Sep,11639.13,11391.72,,
01-09-2018,Karnataka,29,Bidar,529,6110.27,1956.58,5344.62,1697.76,87.47%,86.77%,765.65,258.82,2018,Sep,8066.85,7042.38,,
01-09-2018,Tamil Nadu,33,Virudhunagar,597,5487.51,183.65,4467.8,169.42,81.42%,92.25%,1019.71,14.23,2018,Sep,5671.16,4637.22,,
01-09-2018,Uttar Pradesh,9,Sant Kabeer Nagar,178,2804.94,4073.8,2786.45,4045.55,99.34%,99.31%,18.49,28.25,2018,Sep,6878.74,6832,,
01-09-2018,Jammu And Kashmir,1,Ramban,621,1156.88,829.95,610.48,371.23,52.77%,44.73%,546.4,458.72,2018,Sep,1986.83,981.71,,
01-09-2018,West Bengal,19,Medinipur East,317,7804.58,11587.07,7759.89,11587.07,99.43%,100.00%,44.69,0,2018,Sep,19391.65,19346.96,,
01-09-2018,Madhya Pradesh,23,Khargone,414,2001.87,8400.41,1599.59,6802.28,79.90%,80.98%,402.28,1598.13,2018,Sep,10402.28,8401.87,,
01-09-2018,West Bengal,19,Hooghly,312,6838.02,10076.73,6759.06,10048.45,98.85%,99.72%,78.96,28.28,2018,Sep,16914.75,16807.51,,
01-09-2018,Himachal Pradesh,2,Chamba,16,894,1324,716.12,1115.27,80.10%,84.23%,177.88,208.73,2018,Sep,2218,1831.39,,
01-09-2018,Uttar Pradesh,9,Jalaun,151,2564.07,3751.68,2486.17,3634.8,96.96%,96.88%,77.9,116.88,2018,Sep,6315.75,6120.97,,
01-09-2018,Madhya Pradesh,23,Burhanpur,397,714.21,2959.66,678.65,2816.87,95.02%,95.18%,35.56,142.79,2018,Sep,3673.87,3495.52,,
01-09-2018,Delhi,7,South West,84,778.91,3037.28,778.91,3037.28,100.00%,100.00%,0,0,2018,Sep,3816.19,3816.19,,
01-09-2018,Gujarat,24,Morbi,673,972.38,2281.95,854.63,2006.73,87.89%,87.94%,117.75,275.22,2018,Sep,3254.33,2861.36,,
01-09-2018,Tamil Nadu,33,Kanchipuram,574,8218.75,179.43,7138.3,148.57,86.85%,82.80%,1080.45,30.86,2018,Sep,8398.18,7286.87,,
01-09-2018,Madhya Pradesh,23,Ujjain,435,1294.87,5445.38,1192.26,5017.97,92.08%,92.15%,102.61,427.41,2018,Sep,6740.25,6210.23,,
01-09-2018,Tamil Nadu,33,Krishnagiri,577,6422.61,297.29,5797.28,261.51,90.26%,87.96%,625.33,35.78,2018,Sep,6719.9,6058.79,,
01-09-2018,Madhya Pradesh,23,Sagar,425,2327.24,9830.63,1859.12,7910.96,79.89%,80.47%,468.12,1919.67,2018,Sep,12157.87,9770.08,,
01-09-2018,Maharashtra,27,Washim,499,835.59,3715.68,782.55,3471.83,93.65%,93.44%,53.04,243.85,2018,Sep,4551.27,4254.38,,
01-09-2018,Tamil Nadu,33,Cuddalore,570,10519.86,268.2,8927.48,223.34,84.86%,83.27%,1592.38,44.86,2018,Sep,10788.06,9150.82,,
01-09-2018,Odisha,21,Cuttack,350,7099.54,2680.71,6977.09,2635.44,98.28%,98.31%,122.45,45.27,2018,Sep,9780.25,9612.53,,
01-09-2018,Uttar Pradesh,9,Auraiya,122,2262.37,3264.79,2215.72,3194.82,97.94%,97.86%,46.65,69.97,2018,Sep,5527.16,5410.54,,
01-09-2018,Jammu And Kashmir,1,Doda,4,1669.91,1218.67,829.35,567.52,49.66%,46.57%,840.56,651.15,2018,Sep,2888.58,1396.87,,
01-09-2018,Uttarakhand,5,Almora,45,1382.16,847.3,1182.43,680.89,85.55%,80.36%,199.73,166.41,2018,Sep,2229.46,1863.32,,
01-09-2018,Kerala,32,Alappuzha,554,5798.2,1209,4222.39,955.73,72.82%,79.05%,1575.81,253.27,2018,Sep,7007.2,5178.12,,
01-09-2018,Uttar Pradesh,9,Hapur,661,1997.17,2973.74,1910.31,2843.46,95.65%,95.62%,86.86,130.28,2018,Sep,4970.91,4753.77,,
01-09-2018,Jharkhand,20,Saraikela Kharsawan,341,4001.62,447.02,4225.67,478.66,105.60%,107.08%,-224.05,-31.64,2018,Sep,4448.64,4704.33,,
01-09-2018,Jharkhand,20,Hazaribagh,332,6372.73,954.81,6591.15,981.96,103.43%,102.84%,-218.42,-27.15,2018,Sep,7327.54,7573.11,,
01-09-2018,Uttar Pradesh,9,Sonbhadra,184,3371.92,4906.49,3259.99,4738.58,96.68%,96.58%,111.93,167.91,2018,Sep,8278.41,7998.57,,
01-09-2018,Uttar Pradesh,9,Gonda,147,5229.32,7673.41,4804.36,7045.99,91.87%,91.82%,424.96,627.42,2018,Sep,12902.73,11850.35,,
01-09-2018,Odisha,21,Kendrapara,360,4337.85,1706.32,4339.06,1728.39,100.03%,101.29%,-1.21,-22.07,2018,Sep,6044.17,6067.45,,
01-09-2018,Gujarat,24,Tapi,641,957.76,2281.72,833.99,1996.1,87.08%,87.48%,123.77,285.62,2018,Sep,3239.48,2830.09,,
01-09-2018,Assam,18,Barpeta,280,7359.89,380,7359.85,380,100.00%,100.00%,0.04,0,2018,Sep,7739.89,7739.85,,
01-09-2018,West Bengal,19,Dinajpur Dakshin,310,2660.38,3937.43,2659.82,3937.43,99.98%,100.00%,0.56,0,2018,Sep,6597.81,6597.25,,
01-09-2018,Bihar,10,Nalanda,209,7560.61,5040.38,7192.26,4794.82,95.13%,95.13%,368.35,245.56,2018,Sep,12600.99,11987.08,,
01-09-2018,Jammu And Kashmir,1,Resai,627,886,1378.84,518.65,613.77,58.54%,44.51%,367.35,765.07,2018,Sep,2264.84,1132.42,,
01-09-2018,Himachal Pradesh,2,Shimla,23,668,937,532.84,747.18,79.77%,79.74%,135.16,189.82,2018,Sep,1605,1280.02,,
01-09-2018,Maharashtra,27,Mumbai,482,11898.48,17684.28,6006.8,8962.25,50.48%,50.68%,5891.68,8722.03,2018,Sep,29582.76,14969.05,,
01-09-2018,Gujarat,24,Banas Kantha,441,3404.17,8042.56,3247.96,7693.61,95.41%,95.66%,156.21,348.95,2018,Sep,11446.73,10941.57,,
01-09-2018,Odisha,21,Kendujhar,361,7831.3,755.48,6281.03,536.43,80.20%,71.01%,1550.27,219.05,2018,Sep,8586.78,6817.46,,
01-09-2018,Gujarat,24,Dohad,445,2664.37,6333.25,2459.23,5850.56,92.30%,92.38%,205.14,482.69,2018,Sep,8997.62,8309.79,,
01-09-2018,Assam,18,Nagaon,297,11999.35,682,8927.11,682,74.40%,100.00%,3072.24,0,2018,Sep,12681.35,9609.11,,
01-09-2018,Gujarat,24,Devbhumi Dwarka,674,818.33,1920.17,772.59,1813.02,94.41%,94.42%,45.74,107.15,2018,Sep,2738.5,2585.61,,
01-09-2018,Uttar Pradesh,9,Mathura,167,3935.89,5800.25,3679.47,5414.04,93.49%,93.34%,256.42,386.21,2018,Sep,9736.14,9093.51,,
01-09-2018,Uttar Pradesh,9,Baghpat,124,1687.75,2512.41,1613.14,2400.51,95.58%,95.55%,74.61,111.9,2018,Sep,4200.16,4013.65,,
01-09-2018,Odisha,21,Sambalpur,371,3853.86,536.39,3764.05,514.42,97.67%,95.90%,89.81,21.97,2018,Sep,4390.25,4278.47,,
01-09-2018,Maharashtra,27,Ratnagiri,492,6606.06,3819.75,3941.35,2363.21,59.66%,61.87%,2664.71,1456.54,2018,Sep,10425.81,6304.56,,
01-09-2018,Delhi,7,Central,77,1610.71,1891.11,1598.48,1868.18,99.24%,98.79%,12.23,22.93,2018,Sep,3501.82,3466.66,,
01-09-2018,Delhi,7,South,83,847.56,3320.97,810.67,3181.59,95.65%,95.80%,36.89,139.38,2018,Sep,4168.53,3992.26,,
01-09-2018,Maharashtra,27,Solapur,496,5186.52,7498.29,4459.11,6558.52,85.97%,87.47%,727.41,939.77,2018,Sep,12684.81,11017.63,,
01-09-2018,Madhya Pradesh,23,Tikamgarh,434,1685.83,6292.6,1321.96,4845.67,78.42%,77.01%,363.87,1446.93,2018,Sep,7978.43,6167.63,,
01-09-2018,Maharashtra,27,Kolhapur,480,10000.66,14753.78,5124.1,7569.46,51.24%,51.31%,4876.56,7184.32,2018,Sep,24754.44,12693.56,,
01-09-2018,Madhya Pradesh,23,Hoshangabad,409,866.61,3661.89,783.84,3313.39,90.45%,90.48%,82.77,348.5,2018,Sep,4528.5,4097.23,,
01-09-2018,Tamil Nadu,33,Kanniyakumari,575,5892.32,270.94,5528.35,220.77,93.82%,81.48%,363.97,50.17,2018,Sep,6163.26,5749.12,,
01-09-2018,Karnataka,29,Raichur,546,7372.17,2312.82,6175.45,1918.27,83.77%,82.94%,1196.72,394.55,2018,Sep,9684.99,8093.72,,
01-09-2018,Uttar Pradesh,9,Kasganj,633,2317.65,3270.15,2198.52,3228.83,94.86%,98.74%,119.13,41.32,2018,Sep,5587.8,5427.35,,
01-09-2018,Uttar Pradesh,9,Sitapur,183,7687.53,11251.11,7314.77,10692.09,95.15%,95.03%,372.76,559.02,2018,Sep,18938.64,18006.86,,
01-09-2018,Bihar,10,Jamui,198,4650.02,3100.01,4611.68,3074.46,99.18%,99.18%,38.34,25.55,2018,Sep,7750.03,7686.14,,
01-09-2018,West Bengal,19,Nadia,320,7794.85,11532.07,7757.15,11511.71,99.52%,99.82%,37.7,20.36,2018,Sep,19326.92,19268.86,,
01-09-2018,Maharashtra,27,Jalna,479,5025.46,7388.56,2568.43,3781.28,51.11%,51.18%,2457.03,3607.28,2018,Sep,12414.02,6349.71,,
01-09-2018,Bihar,10,Khagaria,202,5114.84,3409.82,4897.61,3265.07,95.75%,95.75%,217.23,144.75,2018,Sep,8524.66,8162.68,,
01-09-2018,Madhya Pradesh,23,Bhopal,396,1710,7143.82,1554.24,6502.98,90.89%,91.03%,155.76,640.84,2018,Sep,8853.82,8057.22,,
01-09-2018,Odisha,21,Bhadrak,348,5075.29,1359.35,5055.57,1354.68,99.61%,99.66%,19.72,4.67,2018,Sep,6434.64,6410.25,,
01-09-2018,Bihar,10,Siwan,222,7631.21,5087.48,7424.65,4949.77,97.29%,97.29%,206.56,137.71,2018,Sep,12718.69,12374.42,,
01-09-2018,Odisha,21,Mayurbhanj,365,11742.7,852.53,12222.99,906.81,104.09%,106.37%,-480.29,-54.28,2018,Sep,12595.23,13129.8,,
01-09-2018,Uttar Pradesh,9,Sambhal,659,3350.38,4967.93,2980.95,4413.79,88.97%,88.85%,369.43,554.14,2018,Sep,8318.31,7394.74,,
01-09-2018,Madhya Pradesh,23,Ratlam,423,1155.79,4838.68,1026.8,4345.44,88.84%,89.81%,128.99,493.24,2018,Sep,5994.47,5372.24,,
01-09-2018,Bihar,10,Darbhanga,195,11223.63,7482.42,10643.63,7095.75,94.83%,94.83%,580,386.67,2018,Sep,18706.05,17739.38,,
01-09-2018,Bihar,10,Purbi Champaran,213,13737.46,9542.02,13737.46,9157.95,100.00%,95.97%,0,384.07,2018,Sep,23279.48,22895.41,,
01-09-2018,Madhya Pradesh,23,Seoni,428,3721.53,5410.76,2422.94,3543.84,65.11%,65.50%,1298.59,1866.92,2018,Sep,9132.29,5966.78,,
01-09-2018,Uttar Pradesh,9,Saharanpur,177,5463.39,8058.54,5134.7,7566.24,93.98%,93.89%,328.69,492.3,2018,Sep,13521.93,12700.94,,
01-09-2018,Uttar Pradesh,9,Gorakhpur,148,6875.15,9996.75,6417.85,9252.13,93.35%,92.55%,457.3,744.62,2018,Sep,16871.9,15669.98,,
01-09-2018,Jharkhand,20,Chatra,323,4196.27,515.7,4505.61,581.76,107.37%,112.81%,-309.34,-66.06,2018,Sep,4711.97,5087.37,,
01-09-2018,Uttar Pradesh,9,Jhansi,153,3152.5,4614.17,2980.19,4355.7,94.53%,94.40%,172.31,258.47,2018,Sep,7766.67,7335.89,,
01-09-2018,Odisha,21,Puri,369,5390.58,1359.79,5360.15,1348.12,99.44%,99.14%,30.43,11.67,2018,Sep,6750.37,6708.27,,
01-09-2018,West Bengal,19,Murshidabad,319,12787.93,18893.58,12713.84,18893.58,99.42%,100.00%,74.09,0,2018,Sep,31681.51,31607.42,,
01-09-2018,Madhya Pradesh,23,Datia,401,640.04,2634.48,496.78,2051.16,77.62%,77.86%,143.26,583.32,2018,Sep,3274.52,2547.94,,
01-09-2018,Uttar Pradesh,9,Bareilly,130,7337.77,10757.44,6867.84,10030.25,93.60%,93.24%,469.93,727.19,2018,Sep,18095.21,16898.09,,
01-09-2018,Uttar Pradesh,9,Hamirpur,149,2043.42,2975.08,1863.7,2705.7,91.20%,90.95%,179.72,269.38,2018,Sep,5018.5,4569.4,,
01-09-2018,Uttar Pradesh,9,Banda,128,2906.42,4238.77,2885.45,4208.25,99.28%,99.28%,20.97,30.52,2018,Sep,7145.19,7093.7,,
01-09-2018,Bihar,10,Supaul,223,6335.93,4223.95,6262.46,4174.77,98.84%,98.84%,73.47,49.18,2018,Sep,10559.88,10437.23,,
01-09-2018,Bihar,10,Pashchim Champaran,211,10469.65,6979.77,10469.65,6979.77,100.00%,100.00%,0,0,2018,Sep,17449.42,17449.42,,
01-09-2018,Kerala,32,Ernakulam,555,5494.58,1254.55,4555.46,1037.78,82.91%,82.72%,939.12,216.77,2018,Sep,6749.13,5593.24,,
01-09-2018,Uttar Pradesh,9,Unnao,186,5270.76,7480.02,5060.61,7304.79,96.01%,97.66%,210.15,175.23,2018,Sep,12750.78,12365.4,,
01-09-2018,Madhya Pradesh,23,Chhindwara,399,2152.23,9157.99,1658.9,7063.62,77.08%,77.13%,493.33,2094.37,2018,Sep,11310.22,8722.52,,
01-09-2018,Madhya Pradesh,23,Ashoknagar,391,912.27,3299.04,372.33,1891.28,40.81%,57.33%,539.94,1407.76,2018,Sep,4211.31,2263.61,,
