Date,State,State_code,District,District_code,Rice Allocated,Wheat Allocated,Rice Distributed,Wheat Distributed,Performance (Rice),Performance (Wheat),Waste (Rice),Waste (Wheat),Year,Month,Total Allocated,Total Distributed,,
01-10-2017,Maharashtra,27,Sindhudurg,495,2200.96,1310.64,4.33,6.04,0.20%,0.46%,2196.63,1304.6,2017,Oct,3511.6,10.37,,
01-10-2017,Uttar Pradesh,9,Fatehpur,142,4304.4,6364.63,366.52,542.2,8.52%,8.52%,3937.88,5822.43,2017,Oct,10669.03,908.72,,
01-10-2017,Uttar Pradesh,9,Kheri,159,6979.5,10194.53,586.26,855.06,8.40%,8.39%,6393.24,9339.47,2017,Oct,17174.03,1441.32,,
01-10-2017,Uttar Pradesh,9,Kushinagar,160,6584.67,9584.17,201.64,292.17,3.06%,3.05%,6383.03,9292,2017,Oct,16168.84,493.81,,
01-10-2017,Uttar Pradesh,9,Maharajganj,164,4552.2,6661.75,164.52,241.01,3.61%,3.62%,4387.68,6420.74,2017,Oct,11213.95,405.53,,
01-10-2017,Tamil Nadu,33,Thiruvarur,590,15200.18,368.15,4735.81,85.64,31.16%,23.26%,10464.37,282.51,2017,Oct,15568.33,4821.45,,
01-10-2017,Uttar Pradesh,9,Shravasti,181,1972.3,2900.51,33.63,49.68,1.71%,1.71%,1938.67,2850.83,2017,Oct,4872.81,83.31,,
01-10-2017,Tamil Nadu,33,Ramanathapuram,583,14285.9,512.19,4244.73,109.08,29.71%,21.30%,10041.17,403.11,2017,Oct,14798.09,4353.81,,
01-10-2017,Maharashtra,27,Gadchiroli,475,3470.46,1695.53,48.34,21.87,1.39%,1.29%,3422.12,1673.66,2017,Oct,5165.99,70.21,,
01-10-2017,Maharashtra,27,Pune,490,8742.01,13113.01,38.75,79.74,0.44%,0.61%,8703.26,13033.27,2017,Oct,21855.02,118.49,,
01-10-2017,Uttar Pradesh,9,Basti,131,4106.36,5936.87,147.64,211.08,3.60%,3.56%,3958.72,5725.79,2017,Oct,10043.23,358.72,,
01-10-2017,Tamil Nadu,33,Madurai,578,27434.76,1006.09,6572.67,197.66,23.96%,19.65%,20862.09,808.43,2017,Oct,28440.85,6770.33,,
01-10-2017,Uttar Pradesh,9,Barabanki,129,6054.46,8796.98,409.33,604.72,6.76%,6.87%,5645.13,8192.26,2017,Oct,14851.44,1014.05,,
01-10-2017,Maharashtra,27,Palghar,665,7237.94,4213.86,16.26,10.87,0.22%,0.26%,7221.68,4202.99,2017,Oct,11451.8,27.13,,
01-10-2017,Tamil Nadu,33,Krishnagiri,577,19958.27,1174.18,5266.88,247.92,26.39%,21.11%,14691.39,926.26,2017,Oct,21132.45,5514.8,,
01-10-2017,Maharashtra,27,Nandurbar,486,4410.2,2416.22,32.01,9.31,0.73%,0.39%,4378.19,2406.91,2017,Oct,6826.42,41.32,,
01-10-2017,Maharashtra,27,Beed,470,3281.96,4922.94,1.48,32.25,0.05%,0.66%,3280.48,4890.69,2017,Oct,8204.9,33.73,,
01-10-2017,Uttar Pradesh,9,Hardoi,150,7259.48,10594.9,441.33,657.86,6.08%,6.21%,6818.15,9937.04,2017,Oct,17854.38,1099.19,,
01-11-2017,Uttar Pradesh,9,Shahjahanpur,180,4451.06,6581.98,452.77,673.82,10.17%,10.24%,3998.29,5908.16,2017,Nov,11033.04,1126.59,,
01-11-2017,Maharashtra,27,Hingoli,477,1700.57,2550.86,16.81,33.41,0.99%,1.31%,1683.76,2517.45,2017,Nov,4251.43,50.22,,
01-11-2017,Jharkhand,20,West Singhbhum,343,6936.27,859.66,7940.28,725.75,114.47%,84.42%,-1004.01,133.91,2017,Nov,7795.93,8666.03,,
01-11-2017,Gujarat,24,Valsad,462,2285.16,3555.58,38.44,38.44,1.68%,1.08%,2246.72,3517.14,2017,Nov,5840.74,76.88,,
01-11-2017,Uttar Pradesh,9,Sonbhadra,184,3078.7,4466.65,225.64,337.25,7.33%,7.55%,2853.06,4129.4,2017,Nov,7545.35,562.89,,
01-11-2017,Jharkhand,20,Dhanbad,325,8329.98,1567.66,7012.65,1192.79,84.19%,76.09%,1317.33,374.87,2017,Nov,9897.64,8205.44,,
01-11-2017,Uttar Pradesh,9,Bhadohi,179,2707.39,3965.43,316.42,458.56,11.69%,11.56%,2390.97,3506.87,2017,Nov,6672.82,774.98,,
01-11-2017,Uttar Pradesh,9,Mirzapur,170,4289.68,6260.36,290.32,431.66,6.77%,6.90%,3999.36,5828.7,2017,Nov,10550.04,721.98,,
01-11-2017,Tamil Nadu,33,Thiruvarur,590,15244.31,378.98,5175.24,94.57,33.95%,24.95%,10069.07,284.41,2017,Nov,15623.29,5269.81,,
01-11-2017,Odisha,21,Bhadrak,348,4847.16,1393.51,4361.22,1233.45,89.97%,88.51%,485.94,160.06,2017,Nov,6240.67,5594.67,,
01-11-2017,Maharashtra,27,Kolhapur,480,5301.52,7952.27,241.93,114.75,4.56%,1.44%,5059.59,7837.52,2017,Nov,13253.79,356.68,,
01-11-2017,Uttar Pradesh,9,Moradabad,171,4846.15,7193.99,953.63,1420.48,19.68%,19.75%,3892.52,5773.51,2017,Nov,12040.14,2374.11,,
01-11-2017,Madhya Pradesh,23,Khargone,414,1618.26,6842.72,959.73,4027.44,59.31%,58.86%,658.53,2815.28,2017,Nov,8460.98,4987.17,,
01-11-2017,Uttar Pradesh,9,Bareilly,130,7197.64,10547.24,1387.99,2073.09,19.28%,19.66%,5809.65,8474.15,2017,Nov,17744.88,3461.08,,
01-11-2017,Andaman & Nicobar Islands,35,North & Middle Andaman,632,10.24,2.5,82.24,0.07,803.13%,2.80%,-72,2.43,2017,Nov,12.74,82.31,,
01-11-2017,Uttar Pradesh,9,Jalaun,151,2720.05,3985.66,437.46,644.41,16.08%,16.17%,2282.59,3341.25,2017,Nov,6705.71,1081.87,,
